case,frame,evidence
Cosmos3_seed101_0027,174,0.0741467883596371
Cosmos3_seed101_0027,177,0.10894868977036737
Cosmos3_seed101_0027,180,0.10310033395139816
Cosmos3_seed101_0027,183,0.10961712168212272
Cosmos3_seed101_0027,186,0.1164924971613425
Cosmos3_seed101_0027,188,0.1291902872685825
Cosmos3_seed101_0036,0,0.04595338040553227
Cosmos3_seed101_0036,3,0.03402468169461246
Cosmos3_seed101_0036,6,0.062098500853200594
Cosmos3_seed101_0036,9,0.03464511126296162
Cosmos3_seed101_0036,12,0.09665263134303474
Cosmos3_seed101_0036,15,0.027100773532575357
Cosmos3_seed101_0036,18,0.037653427458641635
Cosmos3_seed101_0036,21,0.06203962014359252
Cosmos3_seed101_0036,24,0.08952748166852396
Cosmos3_seed101_0036,27,0.04182305907553755
Cosmos3_seed101_0036,30,0.09528378513887496
Cosmos3_seed101_0036,33,0.037068179062148536
Cosmos3_seed101_0036,36,0.04776644420139389
Cosmos3_seed101_0036,39,0.0351975365877472
Cosmos3_seed101_0036,42,0.07943234666070989
Cosmos3_seed101_0036,45,0.06909686350096612
Cosmos3_seed101_0036,48,0.05772050990560918
Cosmos3_seed101_0036,51,0.0488901983251751
Cosmos3_seed101_0036,54,0.07238076303203067
Cosmos3_seed101_0036,57,0.07766583329671632
Cosmos3_seed101_0036,60,0.09267453638416523
Cosmos3_seed101_0036,63,0.05870334477397216
Cosmos3_seed101_0036,66,0.0943055323236165
Cosmos3_seed101_0036,69,0.09312588185515365
Cosmos3_seed101_0036,72,0.08588740979823152
Cosmos3_seed101_0036,75,0.0
Cosmos3_seed101_0036,78,0.09446437847494014
Cosmos3_seed101_0036,81,0.08733336023587307
Cosmos3_seed101_0036,84,0.0
Cosmos3_seed101_0036,87,0.12320162956569282
Cosmos3_seed101_0036,90,0.09962656895457538
Cosmos3_seed101_0036,93,0.13228981913965893
Cosmos3_seed101_0036,96,0.11859152223384654
Cosmos3_seed101_0036,99,0.12050737649640945
Cosmos3_seed101_0036,102,0.10133440377958397
Cosmos3_seed101_0036,105,0.11694898981657342
Cosmos3_seed101_0036,108,0.14041995182774977
Cosmos3_seed101_0036,111,0.11656706626424919
Cosmos3_seed101_0036,114,0.1090490031410861
